,symbol,funding_time,funding_rate
271,BTCUSDT,2019-12-09 16:00:00,0.0001
272,BTCUSDT,2019-12-10 00:00:00,0.0001
273,BTCUSDT,2019-12-10 08:00:00,0.0001
274,BTCUSDT,2019-12-10 16:00:00,0.0001
275,BTCUSDT,2019-12-11 00:00:00,0.0001
276,BTCUSDT,2019-12-11 08:00:00,4.062e-05
277,BTCUSDT,2019-12-11 16:00:00,-5.692e-05
278,BTCUSDT,2019-12-12 00:00:00,3.16e-05
279,BTCUSDT,2019-12-12 08:00:00,-3.2e-06
280,BTCUSDT,2019-12-12 16:00:00,-8.52e-05
281,BTCUSDT,2019-12-13 00:00:00,-7.162e-05
282,BTCUSDT,2019-12-13 08:00:00,-0.00011387
283,BTCUSDT,2019-12-13 16:00:00,-9.781e-05
284,BTCUSDT,2019-12-14 00:00:00,-5.358e-05
285,BTCUSDT,2019-12-14 08:00:00,2.252e-05
286,BTCUSDT,2019-12-14 16:00:00,0.0001
287,BTCUSDT,2019-12-15 00:00:00,-1.788e-05
288,BTCUSDT,2019-12-15 08:00:00,7.982e-05
289,BTCUSDT,2019-12-15 16:00:00,2.225e-05
290,BTCUSDT,2019-12-16 00:00:00,-0.00013465
291,BTCUSDT,2019-12-16 08:00:00,-0.00010782
292,BTCUSDT,2019-12-16 16:00:00,-3.652e-05
293,BTCUSDT,2019-12-17 00:00:00,-4.606e-05
294,BTCUSDT,2019-12-17 08:00:00,-0.00013429
295,BTCUSDT,2019-12-17 16:00:00,-1.606e-05
296,BTCUSDT,2019-12-18 00:00:00,-0.00013767
297,BTCUSDT,2019-12-18 08:00:00,-0.00022278
298,BTCUSDT,2019-12-18 16:00:00,-0.0001509
299,BTCUSDT,2019-12-19 00:00:00,0.0001
300,BTCUSDT,2019-12-19 08:00:00,0.0001
301,BTCUSDT,2019-12-19 16:00:00,0.0001
302,BTCUSDT,2019-12-20 00:00:00,2.383e-05
303,BTCUSDT,2019-12-20 08:00:00,1.034e-05
304,BTCUSDT,2019-12-20 16:00:00,3.19e-05
305,BTCUSDT,2019-12-21 00:00:00,-2.37e-06
306,BTCUSDT,2019-12-21 08:00:00,0.0001
307,BTCUSDT,2019-12-21 16:00:00,0.0001
308,BTCUSDT,2019-12-22 00:00:00,0.0001
309,BTCUSDT,2019-12-22 08:00:00,0.0001
310,BTCUSDT,2019-12-22 16:00:00,1.57e-05
311,BTCUSDT,2019-12-23 00:00:00,0.0001
312,BTCUSDT,2019-12-23 08:00:00,0.0001
313,BTCUSDT,2019-12-23 16:00:00,0.0001
314,BTCUSDT,2019-12-24 00:00:00,0.0001
315,BTCUSDT,2019-12-24 08:00:00,0.0001
316,BTCUSDT,2019-12-24 16:00:00,0.0001
317,BTCUSDT,2019-12-25 00:00:00,0.0001
318,BTCUSDT,2019-12-25 08:00:00,6.107e-05
319,BTCUSDT,2019-12-25 16:00:00,0.0001
320,BTCUSDT,2019-12-26 00:00:00,0.0001
321,BTCUSDT,2019-12-26 08:00:00,0.0001
322,BTCUSDT,2019-12-26 16:00:00,-2.854e-05
323,BTCUSDT,2019-12-27 00:00:00,2.605e-05
324,BTCUSDT,2019-12-27 08:00:00,-5.694e-05
325,BTCUSDT,2019-12-27 16:00:00,-8.764e-05
326,BTCUSDT,2019-12-28 00:00:00,-7.701e-05
327,BTCUSDT,2019-12-28 08:00:00,-4.257e-05
328,BTCUSDT,2019-12-28 16:00:00,2.166e-05
329,BTCUSDT,2019-12-29 00:00:00,-0.0002325
330,BTCUSDT,2019-12-29 08:00:00,0.0001
331,BTCUSDT,2019-12-29 16:00:00,-8.727e-05
332,BTCUSDT,2019-12-30 00:00:00,-0.00010232
333,BTCUSDT,2019-12-30 08:00:00,-0.0001794
334,BTCUSDT,2019-12-30 16:00:00,-1.406e-05
335,BTCUSDT,2019-12-31 00:00:00,3.936e-05
336,BTCUSDT,2019-12-31 08:00:00,-0.0001305
337,BTCUSDT,2019-12-31 16:00:00,-2.403e-05
338,BTCUSDT,2020-01-01 00:00:00,-0.00012359
339,BTCUSDT,2020-01-01 08:00:00,-0.00012383
340,BTCUSDT,2020-01-01 16:00:00,-9.664e-05
341,BTCUSDT,2020-01-02 00:00:00,3.662e-05
342,BTCUSDT,2020-01-02 08:00:00,0.0001
343,BTCUSDT,2020-01-02 16:00:00,1.04e-06
344,BTCUSDT,2020-01-03 00:00:00,-1.664e-05
345,BTCUSDT,2020-01-03 08:00:00,-1.553e-05
346,BTCUSDT,2020-01-03 16:00:00,0.0001
347,BTCUSDT,2020-01-04 00:00:00,0.0001
348,BTCUSDT,2020-01-04 08:00:00,8.4e-07
349,BTCUSDT,2020-01-04 16:00:00,7.387e-05
350,BTCUSDT,2020-01-05 00:00:00,0.0001
351,BTCUSDT,2020-01-05 08:00:00,0.0001
352,BTCUSDT,2020-01-05 16:00:00,0.0001
353,BTCUSDT,2020-01-06 00:00:00,0.0001
354,BTCUSDT,2020-01-06 08:00:00,0.0001
355,BTCUSDT,2020-01-06 16:00:00,0.0001
356,BTCUSDT,2020-01-07 00:00:00,0.0001
357,BTCUSDT,2020-01-07 08:00:00,0.0001
358,BTCUSDT,2020-01-07 16:00:00,0.0001
359,BTCUSDT,2020-01-08 00:00:00,0.00012514
360,BTCUSDT,2020-01-08 08:00:00,0.0001
361,BTCUSDT,2020-01-08 16:00:00,0.0001
362,BTCUSDT,2020-01-09 00:00:00,0.0001
363,BTCUSDT,2020-01-09 08:00:00,0.0001
364,BTCUSDT,2020-01-09 16:00:00,0.0001
365,BTCUSDT,2020-01-10 00:00:00,0.0001
366,BTCUSDT,2020-01-10 08:00:00,0.0001
367,BTCUSDT,2020-01-10 16:00:00,0.0001
368,BTCUSDT,2020-01-11 00:00:00,0.0001
369,BTCUSDT,2020-01-11 08:00:00,0.00017846
370,BTCUSDT,2020-01-11 16:00:00,0.0001
371,BTCUSDT,2020-01-12 00:00:00,0.0001
372,BTCUSDT,2020-01-12 08:00:00,0.0001
373,BTCUSDT,2020-01-12 16:00:00,0.0001
374,BTCUSDT,2020-01-13 00:00:00,0.0001
375,BTCUSDT,2020-01-13 08:00:00,0.0001
376,BTCUSDT,2020-01-13 16:00:00,0.0001
377,BTCUSDT,2020-01-14 00:00:00,0.0001
378,BTCUSDT,2020-01-14 08:00:00,0.000259
379,BTCUSDT,2020-01-14 16:00:00,0.0001
380,BTCUSDT,2020-01-15 00:00:00,0.00049392
381,BTCUSDT,2020-01-15 08:00:00,0.00019497
382,BTCUSDT,2020-01-15 16:00:00,0.0001
383,BTCUSDT,2020-01-16 00:00:00,0.0001
384,BTCUSDT,2020-01-16 08:00:00,0.00041191
385,BTCUSDT,2020-01-16 16:00:00,0.00031466
386,BTCUSDT,2020-01-17 00:00:00,0.0001
387,BTCUSDT,2020-01-17 08:00:00,0.00015027
388,BTCUSDT,2020-01-17 16:00:00,0.00056749
389,BTCUSDT,2020-01-18 00:00:00,0.0001
390,BTCUSDT,2020-01-18 08:00:00,0.00029182
391,BTCUSDT,2020-01-18 16:00:00,0.00032081
392,BTCUSDT,2020-01-19 00:00:00,0.00020041
393,BTCUSDT,2020-01-19 08:00:00,0.00039329
394,BTCUSDT,2020-01-19 16:00:00,0.00092467
395,BTCUSDT,2020-01-20 00:00:00,0.00029702
396,BTCUSDT,2020-01-20 08:00:00,0.0001
397,BTCUSDT,2020-01-20 16:00:00,0.00010782
398,BTCUSDT,2020-01-21 00:00:00,0.00012057
399,BTCUSDT,2020-01-21 08:00:00,0.00015425
400,BTCUSDT,2020-01-21 16:00:00,0.0001574
401,BTCUSDT,2020-01-22 00:00:00,0.0001
402,BTCUSDT,2020-01-22 08:00:00,0.00021392
403,BTCUSDT,2020-01-22 16:00:00,0.0001
404,BTCUSDT,2020-01-23 00:00:00,0.0001
405,BTCUSDT,2020-01-23 08:00:00,0.0001
406,BTCUSDT,2020-01-23 16:00:00,0.00052304
407,BTCUSDT,2020-01-24 00:00:00,0.00054719
408,BTCUSDT,2020-01-24 08:00:00,0.00042124
409,BTCUSDT,2020-01-24 16:00:00,0.00017948
410,BTCUSDT,2020-01-25 00:00:00,0.0001
411,BTCUSDT,2020-01-25 08:00:00,0.0001
412,BTCUSDT,2020-01-25 16:00:00,0.0001
413,BTCUSDT,2020-01-26 00:00:00,0.0001
414,BTCUSDT,2020-01-26 08:00:00,0.0001
415,BTCUSDT,2020-01-26 16:00:00,0.0001
416,BTCUSDT,2020-01-27 00:00:00,0.0001
417,BTCUSDT,2020-01-27 08:00:00,0.0001
418,BTCUSDT,2020-01-27 16:00:00,0.0001
419,BTCUSDT,2020-01-28 00:00:00,0.0001
420,BTCUSDT,2020-01-28 08:00:00,0.00068689
421,BTCUSDT,2020-01-28 16:00:00,0.00054394
422,BTCUSDT,2020-01-29 00:00:00,0.00062324
423,BTCUSDT,2020-01-29 08:00:00,0.00108193
424,BTCUSDT,2020-01-29 16:00:00,0.00053694
425,BTCUSDT,2020-01-30 00:00:00,0.000236
426,BTCUSDT,2020-01-30 08:00:00,0.00024877
427,BTCUSDT,2020-01-30 16:00:00,0.00034852
428,BTCUSDT,2020-01-31 00:00:00,0.00053551
429,BTCUSDT,2020-01-31 08:00:00,0.00077154
430,BTCUSDT,2020-01-31 16:00:00,0.00039858
431,BTCUSDT,2020-02-01 00:00:00,0.00074991
432,BTCUSDT,2020-02-01 08:00:00,0.00065667
433,BTCUSDT,2020-02-01 16:00:00,0.00049052
434,BTCUSDT,2020-02-02 00:00:00,0.00028263
435,BTCUSDT,2020-02-02 08:00:00,0.00034916
436,BTCUSDT,2020-02-02 16:00:00,0.00065524
437,BTCUSDT,2020-02-03 00:00:00,0.00060677
438,BTCUSDT,2020-02-03 08:00:00,0.00035862
439,BTCUSDT,2020-02-03 16:00:00,0.0001
440,BTCUSDT,2020-02-04 00:00:00,0.00099282
441,BTCUSDT,2020-02-04 08:00:00,0.0005445
442,BTCUSDT,2020-02-04 16:00:00,0.00038192
443,BTCUSDT,2020-02-05 00:00:00,0.0001
444,BTCUSDT,2020-02-05 08:00:00,0.0001
445,BTCUSDT,2020-02-05 16:00:00,0.00052631
446,BTCUSDT,2020-02-06 00:00:00,0.00164021
447,BTCUSDT,2020-02-06 08:00:00,0.00078299
448,BTCUSDT,2020-02-06 16:00:00,0.00055668
449,BTCUSDT,2020-02-07 00:00:00,0.00035618
450,BTCUSDT,2020-02-07 08:00:00,0.00019726
451,BTCUSDT,2020-02-07 16:00:00,0.00034616
452,BTCUSDT,2020-02-08 00:00:00,0.00039915
453,BTCUSDT,2020-02-08 08:00:00,0.00062858
454,BTCUSDT,2020-02-08 16:00:00,0.00099315
455,BTCUSDT,2020-02-09 00:00:00,0.00042798
456,BTCUSDT,2020-02-09 08:00:00,0.00081519
457,BTCUSDT,2020-02-09 16:00:00,0.00113954
458,BTCUSDT,2020-02-10 00:00:00,0.00106733
459,BTCUSDT,2020-02-10 08:00:00,0.00125022
460,BTCUSDT,2020-02-10 16:00:00,0.00097918
461,BTCUSDT,2020-02-11 00:00:00,0.00043989
462,BTCUSDT,2020-02-11 08:00:00,0.00064797
463,BTCUSDT,2020-02-11 16:00:00,0.0005012
464,BTCUSDT,2020-02-12 00:00:00,0.003
465,BTCUSDT,2020-02-12 08:00:00,0.00108055
466,BTCUSDT,2020-02-12 16:00:00,0.00103884
467,BTCUSDT,2020-02-13 00:00:00,0.00093553
468,BTCUSDT,2020-02-13 08:00:00,0.00084403
469,BTCUSDT,2020-02-13 16:00:00,0.00070414
470,BTCUSDT,2020-02-14 00:00:00,0.0006332
471,BTCUSDT,2020-02-14 08:00:00,0.00074453
472,BTCUSDT,2020-02-14 16:00:00,0.00055952
473,BTCUSDT,2020-02-15 00:00:00,0.00059113
474,BTCUSDT,2020-02-15 08:00:00,0.0009686
475,BTCUSDT,2020-02-15 16:00:00,0.00087369
476,BTCUSDT,2020-02-16 00:00:00,0.00051202
477,BTCUSDT,2020-02-16 08:00:00,0.00036973
478,BTCUSDT,2020-02-16 16:00:00,0.00060847
479,BTCUSDT,2020-02-17 00:00:00,0.00043179
480,BTCUSDT,2020-02-17 08:00:00,0.0006096
481,BTCUSDT,2020-02-17 16:00:00,0.00091076
482,BTCUSDT,2020-02-18 00:00:00,0.00026967
483,BTCUSDT,2020-02-18 08:00:00,0.00013952
484,BTCUSDT,2020-02-18 16:00:00,0.00029662
