datetime,open,high,low,close,volume
2018-09-26,6434.9,6540.7,6372.0,6453.5,3208.30200523
2018-09-27,6452.0,6730.0,6430.9,6683.8,4668.78080861
2018-09-28,6683.7,6796.2,6529.4,6622.3,4402.20197709
2018-09-29,6622.2,6622.2,6450.1,6582.7,2128.01050513
2018-09-30,6582.2,6641.0,6518.0,6604.1,1153.41222159
2018-10-01,6603.8,6633.3,6490.2,6572.6,1819.05150989
2018-10-02,6574.5,6597.0,6436.2,6500.0,2970.71532607
2018-10-03,6497.7,6521.1,6397.6,6461.0,5012.80506199
2018-10-04,6461.1,6598.9,6461.0,6547.4,1974.15130184
2018-10-05,6557.3,6666.6,6494.1,6580.2,2450.64358705
2018-10-06,6582.7,6599.0,6532.0,6550.0,845.75184862
2018-10-07,6549.9,6584.2,6488.3,6570.4,1006.89749591
2018-10-08,6567.9,6688.3,6545.0,6610.0,2439.50400808
2018-10-09,6607.4,6618.5,6555.6,6585.9,1341.27329539
2018-10-10,6585.6,6589.1,6441.8,6530.5,2433.91245648
2018-10-11,6530.1,6530.1,6091.2,6150.1,6950.74048029
2018-10-12,6151.9,6238.5,6110.0,6192.2,1651.41521397
2018-10-13,6192.2,6219.1,6171.7,6197.9,909.0362682
2018-10-14,6197.8,6289.9,6150.0,6181.8,1213.27583985
2018-10-15,6181.9,6820.0,6151.0,6438.5,11101.99033587
2018-10-16,6441.3,6490.0,6391.5,6460.4,3257.51799188
2018-10-17,6455.6,6469.8,6411.9,6442.5,1659.27163739
2018-10-18,6442.3,6487.9,6344.6,6395.4,1759.5476889
2018-10-19,6395.2,6406.8,6352.5,6384.2,1125.82582978
2018-10-20,6374.2,6429.7,6360.1,6412.3,768.57453718
2018-10-21,6402.4,6457.8,6399.2,6410.0,925.22443889
2018-10-22,6411.1,6428.7,6367.8,6409.6,1264.02683636
2018-10-23,6401.6,6418.0,6356.2,6394.4,2036.52475542
2018-10-24,6394.9,6466.0,6392.7,6413.9,1473.63260736
2018-10-25,6414.0,6419.7,6356.0,6393.0,1447.60642927
2018-10-26,6393.1,6450.0,6378.9,6409.3,1443.6438561100001
2018-10-27,6409.1,6422.3,6385.0,6410.4,639.70726349
2018-10-28,6410.3,6433.6,6388.0,6408.1,764.61989234
2018-10-29,6408.1,6423.0,6201.0,6266.3,3516.75039569
2018-10-30,6266.2,6299.4,6242.0,6275.0,4889.56041083
2018-10-31,6275.1,6377.0,6205.0,6307.5,2993.88307901
2018-11-01,6307.5,6367.7,6290.6,6339.9,1745.04688445
2018-11-02,6341.7,6378.3,6318.2,6346.2,1751.42930304
